variable;variable_old;text;info
vb_allg_3;VB_allg_3;In diesem Block geht es um Ihre allgemeine Einstellung zu Veränderungen. - Wenn ich von irgendwelchen Änderungen und neuen Dingen höre, bleibe ich in der Regel erst einmal gelassen.;"{""ImportId"":""QID41_3""}"
vb_allg_4;VB_allg_4;In diesem Block geht es um Ihre allgemeine Einstellung zu Veränderungen. - Veränderungen bringen einem in der Regel auch persönlich immer etwas.;"{""ImportId"":""QID41_4""}"
aaz_1;AAZ_1;Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Meine Arbeit macht mir wenig Spaß, aber man sollte nicht zu viel erwarten.;"{""ImportId"":""QID32_1""}"
aaz_2;AAZ_2;Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Ich habe richtige Freude an der Arbeit.;"{""ImportId"":""QID32_2""}"
aaz_3;AAZ_3;"Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Meine Arbeit läuft immer im gleichen Trott; daran kann man nichts machen.";"{""ImportId"":""QID32_3""}"
aaz_4;AAZ_4;Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Was meinen Sie: Insgesamt gesehen: Würden Sie sagen, dass Ihre Arbeit wirklich interessant und befriedigend ist?;"{""ImportId"":""QID32_4""}"
aaz_5;AAZ_5;Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Gibt Ihnen Ihre Arbeit genügend Möglichkeiten, Ihre Fähigkeiten zu gebrauchen?;"{""ImportId"":""QID32_5""}"
aaz_6;AAZ_6;Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Sind Sie mit Ihren Aufstiegsmöglichkeiten zufrieden?;"{""ImportId"":""QID32_6""}"
aaz_7;AAZ_7;Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Sind Sie mit dem Arbeitstempo zufrieden?;"{""ImportId"":""QID32_7""}"
aaz_8;AAZ_8;Im folgenden interessieren uns verschiedene Aspekte Ihres Berufslebens.      In diesem Block geht es um Ihre allgemeine Arbeitszufriedenheit. - Wenn Sie noch einmal zu entscheiden hätten, würden Sie dann wieder den gleichen Beruf wählen?;"{""ImportId"":""QID32_8""}"
pro_1;PRO_G_10;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Ich nutze Chancen bei der Arbeit, das beste für meine Weiterentwicklung zu erreichen.;"{""ImportId"":""QID31_1""}"
pre_1;PRE_S_01;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Ich konzentriere mich darauf, meine Arbeitsaufgaben korrekt abzuschließen, um meinen Arbeitsplatz zu sichern.;"{""ImportId"":""QID31_2""}"
pre_2;PRE_O_02;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Bei der Arbeit konzentriere ich mich darauf, meine Aufgabenbereiche vollständig auszufüllen.;"{""ImportId"":""QID31_3""}"
pro_2;PRO_G_11;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Ich neige dazu, Risiken bei der Arbeit einzugehen, um Erfolg zu haben.;"{""ImportId"":""QID31_4""}"
pre_3;PRE_O_03;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Meine Verpflichtungen auf der Arbeit zu erfüllen ist sehr wichtig für mich.;"{""ImportId"":""QID31_5""}"
pre_4;PRE_S05;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Ich bin auf der Arbeit darauf bedacht, Aufgaben zu erfüllen, die meinen Arbeitsplatz sichern.;"{""ImportId"":""QID31_6""}"
pro_3;PRO_A_13;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Wenn mein Job mir keine Weiterentwicklungsmöglichkeiten bieten würde, würde ich mich nach einem neuen Job umsehen.;"{""ImportId"":""QID31_7""}"
pro_4;PRO_A_14;In diesem Block geht es darum, wie Sie Ziele und Chancen in Ihrem Beruf angehen. - Die Chance auf Weiterentwicklung ist ein wichtiger Faktor für mich bei der Arbeitsplatzsuche.;"{""ImportId"":""QID31_8""}"
textfeld;Q79;Im folgenden bitten wir Sie, kreativ zu sein und einmal die Perspektive zu wechseln.    Was müssen Sie tun, damit digitaler Wandel im Unternehmen für die Arbeitnehmer möglichst schlecht verläuft?  (z.B.  Welche Maßnahmen oder Aspekte dürfen auf keinen Fall ergriffen werden?)  Bitte werden Sie kreativ und nennen uns möglichst viele Aspekte, die Ihnen einfallen.;"{""ImportId"":""QID79_TEXT""}"
abschluss;Q69;Vielen Dank für Ihre Teilnahme! Haben Sie noch Anmerkungen für uns?;"{""ImportId"":""QID69_TEXT""}"
