variable;variable_old;text;info
Q57_2;Q57_2;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung:
 Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich habe den Eindruck, dass  Arbeitsprozesse durch IKTs beschleunigt werden.";"{""ImportId"":""QID95_2""}"
Q57_3;Q57_3;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung:
 Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - Ich habe den Eindruck, dass ich durch IKTs in Entscheidungsprozesse mit eingebunden werde.";"{""ImportId"":""QID95_3""}"
Q57_4;Q57_4;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung:
 Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - IKTs dienen in meinem Unternehmen dazu, Tätigkeiten aufzuteilen und an verschiedene Mitarbeiter weiterzugeben.";"{""ImportId"":""QID95_4""}"
Q57_5;Q57_5;"Bitte geben 
Sie an, inwieweit Sie den folgenden Aussagen zustimmen. (Zur Erinnerung:
 Mit IKT am Arbeitsplatz sind technische Hilfsmittel zur schriftlichen Kommunikation bei der Arbeit gemeint.) - IKTs ermöglichen in meinem Unternehmen, die Ergebnisse der aufgeteilten Tätigkeiten zusammenzufügen.";"{""ImportId"":""QID95_5""}"
Q38_1;Q38_1;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, privates und berufliches voneinander zu trennen.;"{""ImportId"":""QID79_1""}"
Q38_2;Q38_2;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich bin mit meiner derzeitigen Arbeit zufrieden.;"{""ImportId"":""QID79_2""}"
Q38_3;Q38_3;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mein Arbeitgeber unterstützt aktiv das mobile Arbeiten.;"{""ImportId"":""QID79_3""}"
Q38_4;Q38_4;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Beim mobilen Arbeiten bin ich produktiver.;"{""ImportId"":""QID79_4""}"
Q38_5;Q38_5;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mobiles Arbeiten stört die Effektivität der Arbeit.;"{""ImportId"":""QID79_5""}"
Q38_6;Q38_6;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Digitalisierung verschlechtert Arbeitsprozesse.;"{""ImportId"":""QID79_6""}"
Q38_7;Q38_7;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Ich muss oft zusätzliche Zeit über die formalen Stunden meines Jobs arbeiten.;"{""ImportId"":""QID79_7""}"
Q38_8;Q38_8;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mit den Arbeitszeiten in meinem Beruf bin ich zufrieden.;"{""ImportId"":""QID79_8""}"
Q38_9;Q38_9;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Mir fällt es schwer, morgens für den Job aufzustehen.;"{""ImportId"":""QID79_9""}"
Q38_10;Q38_10;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Meine Arbeit macht mir Spaß.;"{""ImportId"":""QID79_10""}"
Q38_11;Q38_11;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Flexibilität ist in meinem Arbeitsalltag sehr wichtig.;"{""ImportId"":""QID79_11""}"
Q38_12;Q38_12;In diesem Block möchten wir gerne erfahren, wie Sie persönlich Ihre Arbeit wahrnehmen. - Die Inhalte meiner Arbeit interessieren mich auch privat.;"{""ImportId"":""QID79_12""}"
Q41_1;Q41_1;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - unzufrieden:zufrieden;"{""ImportId"":""QID114_1""}"
Q41_2;Q41_2;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - gelangweilt:enthusiastisch;"{""ImportId"":""QID114_2""}"
Q41_3;Q41_3;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - deprimiert:fröhlich;"{""ImportId"":""QID114_3""}"
Q41_4;Q41_4;Wenn Sie daran denken, wie viel Zeit Sie in den letzten Wochen in Ihrem Job verbracht haben, fühlen Sie sich... - miserabel:hervorragend;"{""ImportId"":""QID114_4""}"
Q44;Q44;Ich kann mir meine Arbeitszeit frei einteilen.;"{""ImportId"":""QID82""}"
Q46_1;Q46_1;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Eine freie Einteilung der Arbeitszeit ermöglicht einen leichteren Alltag.;"{""ImportId"":""QID83_1""}"
Q46_2;Q46_2;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Die Arbeit frei einzuteilen verbessert meine persönlichen Routinen.;"{""ImportId"":""QID83_3""}"
Q46_3;Q46_3;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Um produktiv arbeiten zu können, benötige ich feste Strukturen.;"{""ImportId"":""QID83_4""}"
Q46_4;Q46_4;Die folgenden Aussagen beziehen sich auf Ihre Arbeitszeit und Ihre Einschätzung der Möglichkeit, Arbeitszeiten flexibel einzuteilen. - Durch Freiheiten bei der Einteilung der Arbeitszeit verliere ich schnell den Überblick über meinen tatsächlichen Arbeitsaufwand.;"{""ImportId"":""QID83_5""}"
Q48_1;Q48_1;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich wurde in die von mir genutzten IKTs eingeführt.;"{""ImportId"":""QID89_1""}"
Q48_2;Q48_2;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich kann die Systeme sicher bedienen.;"{""ImportId"":""QID89_2""}"
Q48_3;Q48_3;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Die mir zur Verfügung gestellten Tools ermöglichen es mir, meine Arbeit gut zu erledigen.;"{""ImportId"":""QID89_3""}"
Q48_4;Q48_4;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich bin mit den mir zur Verfügung stehenden IKTs vollkommen zufrieden.;"{""ImportId"":""QID89_4""}"
Q48_5;Q48_5;Bitte bewerten Sie die folgenden Aussagen zu den IKTs an Ihrem Arbeitsplatz. - Ich habe das Gefühl, dass die IKTs zu meiner Arbeitszufriedenheit beitragen.;"{""ImportId"":""QID89_5""}"
Q50_1;Q50_1;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich fühle mich in die Arbeitsprozesse vollständig integriert.;"{""ImportId"":""QID90_1""}"
Q50_2;Q50_2;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Ich werde auch von unterwegs  in Arbeitsprozesse mit eingebunden.;"{""ImportId"":""QID90_2""}"
Q50_3;Q50_3;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Mir fällt es schwer, mich mit der Unternehmenskultur zu identifizieren.;"{""ImportId"":""QID90_3""}"
Q50_4;Q50_4;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Die genutzten Tools integrieren mich besser in die Arbeitsprozesse.;"{""ImportId"":""QID90_4""}"
Q50_5;Q50_5;Bitte bewerten Sie die folgenden Aussagen zur Einstellung zum Unternehmen. - Im Allgemeinen bin ich mit meiner Arbeit zufrieden.;"{""ImportId"":""QID90_5""}"
Q_RelevantIDDuplicate;Q_RelevantIDDuplicate;Q_RelevantIDDuplicate;"{""ImportId"":""Q_RelevantIDDuplicate""}"
Q_BallotBoxStuffing;Q_BallotBoxStuffing;Q_BallotBoxStuffing;"{""ImportId"":""Q_BallotBoxStuffing""}"
Q_RelevantIDDuplicateScore;Q_RelevantIDDuplicateScore;Q_RelevantIDDuplicateScore;"{""ImportId"":""Q_RelevantIDDuplicateScore""}"
Q_RelevantIDFraudScore;Q_RelevantIDFraudScore;Q_RelevantIDFraudScore;"{""ImportId"":""Q_RelevantIDFraudScore""}"
Q_TotalDuration;Q_TotalDuration;Q_TotalDuration;"{""ImportId"":""Q_TotalDuration""}"
collector;collector;collector;"{""ImportId"":""collector""}"
